variant,jitter_p95_ms,loss_pct,overhead_pct,added_latency_p95_ms,family,seed
baseline,14.13987294537051,2.8916666666666666,0.0,0.0,cable_ftth_evening,1
duality_single,4.440892098500626e-12,2.5250000000000004,7.000000000000001,15.0,cable_ftth_evening,1
duality_dual,4.440892098500626e-12,0.008333333333333333,7.833333333333333,15.0,cable_ftth_evening,1
baseline,13.025733028052484,1.8083333333333333,0.0,0.0,cable_ftth_evening,2
duality_single,4.440892098500626e-12,1.55,7.000000000000001,15.0,cable_ftth_evening,2
duality_dual,4.440892098500626e-12,0.05,6.725,15.0,cable_ftth_evening,2
baseline,13.629410660955417,0.42500000000000004,0.0,0.0,cable_ftth_evening,3
duality_single,4.440892098500626e-12,0.375,7.000000000000001,15.0,cable_ftth_evening,3
duality_dual,4.440892098500626e-12,0.016666666666666666,5.4,15.0,cable_ftth_evening,3
baseline,13.520735391534794,1.95,0.0,0.0,cable_ftth_evening,4
duality_single,4.440892098500626e-12,1.675,7.000000000000001,15.0,cable_ftth_evening,4
duality_dual,4.440892098500626e-12,0.008333333333333333,6.9,15.0,cable_ftth_evening,4
baseline,14.807697474229538,3.883333333333333,0.0,0.0,cable_ftth_evening,5
duality_single,4.440892098500626e-12,3.4000000000000004,7.000000000000001,15.0,cable_ftth_evening,5
duality_dual,4.440892098500626e-12,0.025,8.783333333333333,15.0,cable_ftth_evening,5
baseline,13.970468006272043,1.7833333333333332,0.0,0.0,cable_ftth_evening,6
duality_single,4.440892098500626e-12,1.55,7.000000000000001,15.0,cable_ftth_evening,6
duality_dual,4.440892098500626e-12,0.008333333333333333,6.75,15.0,cable_ftth_evening,6
baseline,13.307708571782678,1.625,0.0,0.0,cable_ftth_evening,7
duality_single,4.440892098500626e-12,1.375,7.000000000000001,15.0,cable_ftth_evening,7
duality_dual,4.440892098500626e-12,0.0,6.583333333333334,15.0,cable_ftth_evening,7
baseline,14.427223224544601,2.5416666666666665,0.0,0.0,cable_ftth_evening,8
duality_single,4.440892098500626e-12,2.191666666666667,7.000000000000001,15.0,cable_ftth_evening,8
duality_dual,4.440892098500626e-12,0.05,7.433333333333334,15.0,cable_ftth_evening,8
baseline,15.043973294788033,0.7166666666666667,0.0,0.0,cable_ftth_evening,9
duality_single,4.440892098500626e-12,0.6333333333333333,7.000000000000001,15.0,cable_ftth_evening,9
duality_dual,4.440892098500626e-12,0.0,5.708333333333333,15.0,cable_ftth_evening,9
baseline,14.956193137492434,0.6583333333333333,0.0,0.0,cable_ftth_evening,10
duality_single,4.440892098500626e-12,0.575,7.000000000000001,15.0,cable_ftth_evening,10
duality_dual,4.440892098500626e-12,0.0,5.65,15.0,cable_ftth_evening,10
baseline,13.73506679197778,0.775,0.0,0.0,cable_ftth_evening,11
duality_single,4.440892098500626e-12,0.6833333333333333,7.000000000000001,15.0,cable_ftth_evening,11
duality_dual,4.440892098500626e-12,0.0,5.75,15.0,cable_ftth_evening,11
baseline,14.205760755513275,2.275,0.0,0.0,cable_ftth_evening,12
duality_single,4.440892098500626e-12,1.9416666666666664,7.000000000000001,15.0,cable_ftth_evening,12
duality_dual,4.440892098500626e-12,0.008333333333333333,7.225,15.0,cable_ftth_evening,12
baseline,13.855123989657136,1.5166666666666666,0.0,0.0,cable_ftth_evening,13
duality_single,4.440892098500626e-12,1.3166666666666667,7.000000000000001,15.0,cable_ftth_evening,13
duality_dual,4.440892098500626e-12,0.0,6.491666666666667,15.0,cable_ftth_evening,13
baseline,13.1412206757318,3.0166666666666666,0.0,0.0,cable_ftth_evening,14
duality_single,4.440892098500626e-12,2.591666666666667,7.000000000000001,15.0,cable_ftth_evening,14
